8110F18103	->	83F110C16B8F3F
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8210F1210DB1	->	80F1103D610D000000000000000000000000000000000000000000000000000000C000000000000000000000000000000000000000000000000000000000000000EC
8110F120A2	->	81F11060E2
8110F18204	->	81F110C244
